topic_name,topic_description
Computer experiment,experiment used to study a computer simulation
Bottom of the pyramid,concept
Gas dynamics,The field of study related to Gas dynamics.
Rudder,"device to steer an air or water vehicle, usually stern-mounted"
Bowel function,expulsion of feces from the rectum
Old field,land formerly cultivated or grazed but later abandoned
Oil supply,Wikimedia list article
oskar,gene required for the development of the Drosophila embryo
Family health,medical specialty
Non-ionizing radiation,electromagnetic radiation that does not carry enough energy per quantum to ionize atoms or molecules
Virtuality (gaming),The field of study related to Virtuality (gaming).
Scan statistic,The field of study related to Scan statistic.
Annual plant,"shorter-lived plant that completes its life cycle, from germination to the production of seed, within one year, and then dies"
Classical logic,class of formal logics
Real number,quantity along a continuous line
Creative writing,academic discipline concerned with creating literature
Cyberwarfare,use of technological force within cyberspace
Pfaffian,the square root of the determinant of a skew-symmetric square matrix
Signed distance function,The field of study related to Signed distance function.
Constructive proof,method of proof that demonstrates the existence of a mathematical object by creating or providing a method for creating the object
Penicillium citrinum,species of fungus
Netlist,representation of electronic circuit components
Penetration rate,Wikimedia disambiguation page
American literature,literature written by Americans or related to the United States
Environmental restoration,The field of study related to Environmental restoration.
Community organizing,process where people come together to cooperate in local organizations
Sweetening agents,sweetener that contains significantly less food energy than sugar
Uncertain data,The field of study related to Uncertain data.
Backplane,PCB containing connectors for daughterboards electrically linked pin-by-pin
Geotechnical investigation,The field of study related to Geotechnical investigation.
Molecular cell biology,scientific discipline that studies cells
Dendrobium,genus of plants
Busbar,metallic strip or bar used for high-current electric power distribution
Control sample,subject or observation selected to minimize the effects of variables other than the independent variable of an experiment
Girdling,The field of study related to Girdling.
Cecropia,genus of plants
Media content,information and experiences that are directed toward an end-user or audience
Anglo saxon,confederation of Germanic tribes who started to inhabit parts of Great Britain from the 5th century onwards
Intravenous Infusions,delivery of fluids directly into the circulatory system
Compulsory education,period of education required for a person
Thin section,"laboratory preparation rock, mineral, soil, pottery, bones, metal for petrographic  microscope"
Continuous production,The field of study related to Continuous production.
Papaver,genus of plants
Porphyria cutanea tarda,"acute porphyria characterized by painful, blistering skin lesions that develop on sun-exposed skin"
Strength of materials,behavior of solid objects subject to stresses and strains
Convergent synthesis,The field of study related to Convergent synthesis.
Hyperreflexia,symptom
Monitoring and evaluation,"continuous assessment and examination concerning the relevance, effectiveness, efficiency and impact of activities in light of specified objectives"
Fetishism,human attribution of special powers or value to a regular object
Order entry,The field of study related to Order entry.
Monochrome,art terminology of unicoloring method
Autocatalytic reaction,chemical reaction in which a product (or a reaction intermediate) also functions as a catalyst
Volume expansion,Wikimedia disambiguation page
Orbital plane,geometrical plane in which an orbit lies
Engineered wood,range of derivative wood products
Dipterocarpaceae,family of plants
Social knowledge,statement widely known to be true
Tsallis statistics,The field of study related to Tsallis statistics.
Diosgenin,chemical compound
Transport system,physical spacial network for vehicle movement and transportation of goods over thoroughfares between multiple locations
Withdrawal syndrome,group of symptoms that occur upon the abrupt discontinuation or decrease in intake of medications or recreational drugs
Camelina,genus of plants
Bone transplantation,bone transplant
Capital punishment,legal process whereby a person is put to death by the state as a punishment for a crime
Expediting,concept
Medial axis,the set of all points having more than one closest point on the boundary of a given object
Center of gravity,military concept
Carbon-14,isotope of carbon
Threat model,"process by which potential threats, such as structural vulnerabilities can be identified, enumerated, and prioritized – all from a hypothetical attacker’s point of view"
Therapeutic window,comparison of the amount of a drug that has a therapeutic effect to the amount that is toxic
Bar chart,chart
Quadcopter,rotorcraft drone using four rotors
Nuclear science,field of physics that deals with the structure and behavior of atomic nuclei
Fat embolism,type of embolism
Commutative algebra,branch of algebra that studies commutative rings
Animal breeding,procreation and rearing of animals under controlled conditions
Level crossing,place where a road crosses a railway at the same level
Colorimetric analysis,method of determining the concentration of a chemical element or chemical compound in a solution with the aid of a color reagent
Multiple,product of any number and an interger
Pragmatic theory of truth,The field of study related to Pragmatic theory of truth.
Consciousness raising,drawing of attention to an activist topic
Freedman,former slave who has been released from slavery
Grand strategy,"broad-scope, comprehensive military strategy"
Hylidae,family of amphibians
Recording media,physical storage medium for recording information
Modelica,programming language
Optical recording,The field of study related to Optical recording.
Photoswitch,The field of study related to Photoswitch.
Non-perturbative,function that can't be accurately described by perturbation theory
Palliative treatment,area of healthcare that focuses on relieving and preventing the suffering of patients
Selective breeding,process by which humans use animal and plant breeding to selectively develop particular phenotypic traits
Global network,The field of study related to Global network.
Ordinate,names for a system's two axes in coordinate geometry
Biliary disease,The field of study related to Biliary disease.
Community integration,type of integration
Global wind patterns,surface wind that blows predominantly from a particular direction
Homo economicus,concept in many economic theories of humans as rational and narrowly self-interested actors who have the ability to make judgments toward their subjectively defined ends
Topological data analysis,analysis of datasets using techniques from topology
Science studies,"interdisciplinary research area that seeks to situate scientific expertise in broad social, historical, and philosophical contexts"
Critical management studies,The field of study related to Critical management studies.
Olduvai Gorge,archaeological site in Tanzania
Clenbuterol,pair of enantiomers
Cyclopentenone,chemical compound
Vertical axis,orthogonal coordinate system
Social model of disability,view of problems related to human disability as caused by a societal failure to accommodate disabilities
Gimbal,support allowing rotation
Stress wave,mathematical study of how solid objects deform and become internally stressed due to prescribed loading conditions
Mononuclear cell infiltration,mature lymphocytes and monocytes transported by the blood to extravascular space
Areola,pigmented area on the breast around the nipple
Nicorandil,chemical compound
Information resource,Wikimedia disambiguation page
Pain sensation,type of unpleasant feeling
Deindustrialization,process of reduction of industrial activity
Evidentiality,"linguistic indication of the nature of evidence for a given statement, often using modal verbs"
Normal values,measured values in a control group
Air monitoring,automated sensor suites
Structural adjustment,provision of loans by the International Monetary Fund and World Bank to countries that experienced economic crises
Hubris,"extreme pride or overconfidence, often in combination with arrogance"
Dichloroacetic acid,chemical compound
Digital micromirror device,mirror-based electronic display technology
Absorption capacity,accession process of new countries to the European Union
Block design,set together with a family of subsets in math
Greek tragedy,genre of theatre from Ancient Greece
Tsunami wave,series of water waves caused by the displacement of a large volume of a body of water
Piracetam,chemical compound
Zip code,numeric postal code used in the United States
Datapath,The field of study related to Datapath.
Glyoxylic acid,chemical compound
Air water,The field of study related to Air water.
Carving,act of using tools to shape something from a material by scraping away portions of that material
Gastrointestinal transit,organ system within humans and other animals pertaining the stomach and intestines
Civics,"study of the great theoretical and practical aspects of citizenship, its rights and duties"
Domino effect,cumulative effect produced when one event sets off a chain reaction of similar events
Lacrimal apparatus,physiological system containing the orbital structures for tear production and drainage
Beta distribution,family of probability distributions supported on unit interval with two shape parameters
Customer experience,the product of an interaction between an organization and a customer over the duration of their relationship
City logistics,The field of study related to City logistics.
Auricle,outboard part of the ear
Modern physics,"aspects of physics, using 20th century theories such as quantum mechanics and relativity"
Number density,count per volume
Blood clotting,"process in which the coagulation factors of the blood interact, ultimately resulting a clot"
Executive director,"chief executive officer (CEO) or managing director of an organization, company, or corporation, who serves as a board member"
Pickling,metal surface treatment
Water resistance,Wikimedia disambiguation page
Rescue therapy,"therapeutic approach most often used for neoplastic diseases, involving chemotherapy, radiation therapy, or surgery, after initial regimens have failed"
Parental monitoring,software feature allowing content filtering
Eardrum,membrane separating the external ear from the middle ear
Lemna,genus of plants
Anuria,lack of urine
Quinazolinone,group of chemical compounds
Terminalia chebula,species of plant
Accessory nerve,11th cranial nerve
Caryophyllaceae,family of plants
Hexanoic acid,chemical compound
Babbling,Baby talk
Otology,branch of medicine dealing with the ear
Participatory evaluation,The field of study related to Participatory evaluation.
Consumables,good with short durability
Lead oxide,group of inorganic compounds with formulas including lead (Pb) and oxygen (O)
Uncertainty,"situation which involves imperfect and/or unknown information, regarding the existing state, environment, a future outcome or more than one possible outcomes"
Participatory sensing,the concept of communities (or other groups of people) contributing sensory information to form a body of knowledge
Orchitis,inflammation of the testes
Disperser,The field of study related to Disperser.
Page layout,part of graphic design that deals in the arrangement of visual elements on a page
Arbutin,chemical compound
Phytosanitary certification,plant import requirement certification
Benign tumor,disease of cellular proliferation that results in abnormal growths in the body which lack the ability to metastasize
Prosopis,genus of plants
Cousin,descendant of an ancestor's sibling
Atom optics,The field of study related to Atom optics.
Backdoor,covert method of bypassing authentication or encryption in a computer
Telecommunications service,The field of study related to Telecommunications service.
Dermatome,area of the skin which is supplied by a spinal nerve
Mitsunobu reaction,chemical reaction
Generation y,Cohort succeeding Generation X; comes of age at the start of the Third Millennium
Ethical dilemma,"decision-making problem between two conflicting moral imperatives, neither of which is unambiguously acceptable or preferable"
Antispasmodic,class of medications
Dynamic inconsistency,The field of study related to Dynamic inconsistency.
Famotidine,chemical compound
Full moon,lunar phase: completely illuminated disc
Management philosophy,The field of study related to Management philosophy.
Triturus,genus of amphibians
Sicilian,Italo-Dalmatian language spoken in Southern Italy
Rule induction,The field of study related to Rule induction.
Visual reasoning,The field of study related to Visual reasoning.
Point distribution model,The field of study related to Point distribution model.
Fixation point,point where parallel light rays or light rays originating from a point will converge
Combinatorial synthesis,chemical methods designed to rapidly synthesize large numbers of chemical compounds
Natural forest,forest that has attained great age without significant disturbance
Line bundle,one-dimensional vector bundle
Barometer,scientific instrument used to measure atmospheric pressure
Matrine,chemical compound
Baroque,"cultural movement, starting around 1600"
Soil fungi,Soil micro organisms
Special Interest Group,community within a larger organization with a shared interest in advancing a specific area of knowledge
Filtering theory,The field of study related to Filtering theory.
Chronic alcoholic,broad term for problems with alcohol
Sodium formate,chemical compound
User-centered design,framework of processes
Skeletonization,state of a dead organism after undergoing decomposition
Dynamic range compression,audio signal processing operation that reduces the volume of loud sounds or amplifies quiet sounds thus reducing or compressing an audio signal's dynamic range
Stroboscope,"instrument used to make a cyclically moving object appear to be slow-moving, or stationary"
Preadolescence,stage of human development following early childhood and preceding adolescence 9-12
Arabic numerals,"any of the ten symbols (0, 1, 2, 3, 4, 5, 6, 7, 8, and 9)"
Winding number,number of times a curve wraps around a point in the plane
Heat stability,The field of study related to Heat stability.
Technological determinism,theory holding that social progress is shaped by technological progress
Endowment effect,the finding that people are more likely to retain an object they already own than to acquire that same object when they do not own it
Barter,immediate & direct reciprocal exchange of goods or services without use of money
Risk-seeking,"preference for risk, which is opposite of being risk averse"
Stuttgart,soil in Arkansas
Phenol red,chemical compound
Mental development,"The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."
Life-cycle cost analysis,tool to determine the most cost-effective option among different competing alternatives
Peano axioms,axiomatic system
Pressure coefficient,dimensionless quantity in fluid dynamics
Private school,"private, non-parochial school that is not dependent upon national or local government"
Seismic microzonation,The field of study related to Seismic microzonation.
Dark chocolate,chocolate with high cocoa percentages
Mod,modification of a video game
Auxiliary memory,storage of digital data readable by computers
Amoebiasis,human protozoa disease
Retail sales,sale of goods and services from individuals or businesses to the end-user
Turbellaria,class of worms
Sartorius muscle,muscle in the human body
Myotis lucifugus,species of mammal
Relational theory,framework of philosophy
Network monitoring,the use of a system that constantly monitors a computer network for slow or failing components
Off-label use,use of pharmaceutical drugs or vaccines for an unapproved indication concerning the treatment of a particular disease or condition as designated by a regulatory agency
Centimeter,SI unit of length equal to one hundredth of a metre
Urban theory,The field of study related to Urban theory.
International waters,water outside of national jurisdiction
Real-time operating system,computer operating system intended to process data as it comes in with minimal delay
Learning object,The field of study related to Learning object.
Aril,"a membranous or fleshy appendage formed by expansion of the funicle which partly or wholly covers a seed, e.g. the fleshy outer layer of lychee fruit, or that found in members of the Sapindaceae"
Morpho,genus of insects
Occlusive,"consonant sound produced by blocking airflow in the vocal tract, but not necessarily in the nasal tract"
Hyperbola,"type of smooth curve, lying in a plane"
Policy development,principle or protocol to guide decisions and achieve rational outcomes
Binomial coefficient,family of positive integers that occur as coefficients in the binomial theorem
8-Hydroxyquinoline,chemical compound
Winter season,"one of the Earth's four temperate seasons, occurring between autumn and spring"
Verbenaceae,family of plants
Season of birth,The field of study related to Season of birth.
Promethazine,chemical compound
Psychological control,type of social influence
Mountain range (options),derivative which has features making it more complex than commonly traded products
Kinesiology,"the study of anatomy, physiology, and mechanics of body movement, especially in humans"
Burst fracture,medical condition
Cataloging,process of creating meta-data for information resources to include in a catalog database
System testing,testing conducted on a complete integrated system to evaluate the system's compliance with its specified requirements
Chorioretinitis,inflammation of the choroid
Pressure-gradient force,physical force from a pressure differential
Criminal investigation,process that attempts to determine the facts of a crime and circumstances
Choice modelling,The field of study related to Choice modelling.
Peacemaking,"conflict transformation focused on establishing equitable power relationships robust enough to forestall future conflict, including a means of agreeing on decisions between parties that had engaged in violent responses to conflict"
Gas pressure,hypothetical pressure of gas if it alone occupied the volume of the mixture at the same temperature
Housing tenure,the financial arrangements under which someone has the right to live in a house or apartment
Mechanical load,external mechanical resistance against which a machine acts
Energy transport,bulk movement of electrical energy from a generating site to an electrical substation
Exception handling,process of responding to anomalous or exceptional conditions requiring special processing in computer programming
Photo elicitation,The field of study related to Photo elicitation.
Traffic analysis,process of intercepting and examining messages
Dental anomalies,calcified whitish structure in humans' mouths used to break down food
Social risk,"conceptual framework developed by the World Bank that include prevention, mitigation, and coping strategies to protect basic livelihoods and promote risk-taking development"
Airy function,special function in the physical sciences
Procrustes analysis,Statistical shape analysis technique
Bequest,act of giving (not the act of receiving) property by will
Patrolling,military tactic
Block diagram,diagram of a system in which the principal parts or functions are represented by blocks connected by lines that show the relationships of the blocks
Minimalism (technical communication),structured writing or topic-based authoring
Oxon,chemical with phosphorus-oxygen bond replacing a phosphorus-sulfur bond in the parent chemical
Oxetane,chemical compound
Greenwich,soil type
Stereotactic surgery,Medical procedure
Fluid replacement,medical practice of replenishing bodily fluid lost
Burning mouth syndrome,Human disease
Premature ovarian insufficiency,ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40
Drooling,unintentional loss of saliva from the mouth
Vertical seismic profile,The field of study related to Vertical seismic profile.
Ethyl ester,chemical compounds consisting of a carbonyl adjacent to an ether linkage
Pejorative,word or grammatical form expressing a low opinion of someone or something
Caliber,internal diameter of the barrel of a gun
Cystamine,chemical compound
Emotional stress,"psychological feeling of strain and pressure, that could increase the risk of strokes, heart attacks, ulcers, and mental illnesses such as depression and aggravation of a pre-existing condition"
Bracketing (phenomenology),"in the philosophy of Husserl, an act of suspending judgment about the natural world to instead focus on analysis of experience"
Speech-Language Pathology,disability therapy profession
Creationism,"religious belief that nature, and aspects such as the universe, Earth, life, and humans, originated with supernatural acts of divine creation"
Self-deception,"process of denying or rationalizing away the relevance, significance, or importance of opposing evidence and logical argument"
Saphenous nerve,longest sensory branch of the femoral nerve
Pony,type of small horse
Gasket,type of mechanical seal
Transfer factor,The field of study related to Transfer factor.
Social decision making,The field of study related to Social decision making.
Grocery store,retail store that primarily sells food and other household supplies
Stone Age,broad prehistoric period during which stone was widely used to make implements
relapsing fever,"primary bacterial infectious disease that results in infection, has material basis in Borrelia, which is transmitted by tick or transmitted by body louse"
Utility theory,concept in economics & game theory: a relative measure of happiness or satisfaction
Lament,artistic genre
Workaround,bypass of a recognized problem or limitation in a system
Facial pain,"pain which is felt in the mouth, jaws and the face"
Wheat germ,reproductive part that germinates to grow into a plant
Spectral envelope,The field of study related to Spectral envelope.
Applied probability,The field of study related to Applied probability.
Very long instruction word,instruction set architecture
Representation theorem,The field of study related to Representation theorem.
Digital mapping,compiling data to create a visual image
Interrupted Time Series Analysis,Method of analysis involving tracking a long-term period around an intervention
Brazil nut,"species of plant, Brazil nut"
Dust explosion,rapid combustion of fine particles suspended in the air
Flash evaporation,partial vapor that occurs when a saturated liquid stream undergoes a reduction in pressure by passing through a throttling valve or other throttling device
Mandrel,"usually tapered or cylindrical axle, spindle, or arbor inserted into a hole in a piece of work to support it during machining"
Shopping mall,"large indoor shopping center, usually anchored by department stores"
Marketing channel,Marketing channel
Intellectual development,field of study in neuroscience and psychology
Professional standards,UK standards of work performance
Overhead line,"used to transmit electrical energy to trams, trolleybuses or trains"
Chisel,"tool for cutting and carving wood, stone, metal, or other hard materials"
Global Leadership,academic discipline
Foundationalism,"theory in epistemology which sees some beliefs as being justified in terms of more basic beliefs, some of which are seen as being so basic so as to not require any further justification"
Lumbosacral plexus,The field of study related to Lumbosacral plexus.
Multiset,mathematical set with repetitions allowed
Syntactic foam,Composite material
Sinc function,special mathematical function defined as sin(x)/x
Croup,respiratory condition that is usually triggered by an acute viral infection of the upper airway
Cultural analysis,The field of study related to Cultural analysis.
Hogan,primary traditional home of the Navajo people
Cell permeability,membrane which will allow certain molecules or ions to pass through it by diffusion
Suns in alchemy,The field of study related to Suns in alchemy.
Visual angle,The field of study related to Visual angle.
Heart beat,Wikimedia disambiguation page
Symmetrization,process that converts any function in n variables to a symmetric function in n variables
Potential theory,branch of mathematic studying harmonic functions
Hypersphere,generalization of the ordinary sphere to spaces of arbitrary dimension
Speed wobble,physics phenomenon affecting two wheeled vehicles
Catastrophe theory,area of mathematics
Sounding rocket,sub-orbital rocket carrying scientific instruments
Mathieu function,"solutions to Mathieu's differential equations, which are second order linear differential equation"
Athletic training,The field of study related to Athletic training.
Urtica dioica,species of plant
Diligence,virtue
Fortress (chess),endgame drawing technique in which the side behind in material sets up a zone of protection that the opponent cannot penetrate
Hardened steel,type of steel
Open water,Wikimedia disambiguation page
Psychological adaptation,state of harmony between internal needs and external demands
Complexity science,"system composed of many components which may interact with each other, whose behavior is intrinsically difficult to model due to the dependencies, competitions, relationships, or other types of interactions"
Problematization,process in critical thinking
Sheep milk,milk of domestic sheep
Demon,entity in thought experiments
Mandelic acid,pair of enantiomers
Intraoperative neurophysiological monitoring,The field of study related to Intraoperative neurophysiological monitoring.
African elephant,genus comprising two living elephant species
Electrical current,flow of electric charge (for specific quantities see Q29996 or Q234072)
Classroom climate,The field of study related to Classroom climate.
Phase lag,Aerodynamic Phenomenon
Low Confidence,Rating employed by intelligence analysts
Mental accounting,The field of study related to Mental accounting.
Allusion,figure of speech using indirect reference
Edge of chaos,The field of study related to Edge of chaos.
Hydraulic pump,type of a pump
Technostress,stress caused by technology
American west,region comprising the westernmost states of the United States
Do not resuscitate,Legal order saying not to perform CPR if heart stops
Pallet,flat transport structure that supports goods in a stable fashion
Field trial,competitive event for dogs
Violin,"bowed string instrument, usually with four strings tuned in perfect fifths"
Animal food,food for various animals
Formal description,Wikimedia disambiguation page
Hemangioblastoma,tumor of the central nervous system that originates from the vascular system
Iliac bone,"uppermost and largest part of the hip bone, and appears in most vertebrates (including mammals and birds), but not bony fish or snakes"
Religious life,type of lifestyle advocated by the Catholic Church
Triangle inequality,inequality of the form |x + y| ≤ |x| + |y|
Career Pathways,The field of study related to Career Pathways.
Cardiac pacemaker,Network of cells that facilitate rhythmic heart contraction
Weighted arithmetic mean,type of average
Internal iliac artery,main artery of the pelvis
National database,"electronic, print, or other information collected by a state"
Causal chain,ordered sequence of events in which each event causes the next
Multiple disabilities,A term used to describe someone who has multiple disbilities
Bladder exstrophy,congenital disorder of urinary system
Galling,A form of wear caused by adhesion between sliding surfaces
Electric utility,type of electric power company
Acetanilide,chemical compound
Hypoproteinemia,abnormally low level of protein in the blood
Eyebrow,arch of hair above the eye of a human
Business plan,"formal written document containing business goals, the methods on how these goals can be attained, and the time frame within which these goals need to be achieved"
Genomic medicine,medical specialty that involves the diagnosis and management of hereditary disorders
Bank failure,"insolvency crisis for a bank institution, ending in failure or refinancing"
Sample complexity,The field of study related to Sample complexity.
Express trust,type of trust
Differential association,The field of study related to Differential association.
Non union,permanent failure of healing following a broken bone
Parapharyngeal space,deep neck space near the pharynx
Appropriateness criteria,The field of study related to Appropriateness criteria.
Tricine,chemical compound
College English,academic journal
Blood bank,"cache or bank of blood components, stored for later use, e.g. in blood transfusion or they reserve blood for later and emergency use e.g. delivery of baby."
Fructooligosaccharide,class of chemical compounds
Discrete geometry,branch of geometry that studies combinatorial properties and constructive methods of discrete geometric objects
Textuality,all of the attributes that distinguish the communicative content under analysis as an object of study
Urban space,human settlement with high population density and infrastructure of built environment
Separation logic,The field of study related to Separation logic.
Environmental hazard,"a substance, a condition or an event which has the potential to threaten the surrounding natural environment or adversely affect people's health"
Goldstone,glittering glass made in a low-oxygen reducing atmosphere
Food marketing,food producer and consumer
Information display,output device for presentation of information in visual form
Datura stramonium,species of plant
Extensometer,device for measuring changes in length
Amaryllidaceae,family of plants
Social planner,Regimes políticos
Radiolaria,phylum of protists
Defeasible reasoning,"Reasoning that is rationally compelling, though not deductively valid"
Musical instrument,sound-producing object used by a musician for this purpose
Transportation infrastructure,human-directed movement of things or people between locations
Platonism,philosophical theory that includes affirming the existence of abstract objects
Hölder condition,Type of continuity of a complex-valued function.
Agar gel,thickening agent used in microbiology and food
Zulu,language of the Zulu people
Acute exposure,degree to which a substance or phenomenon can damage an organism
Back injury,"damage, wear, or trauma to the bones, muscles, or other tissues of the back"
Mercenaria,genus of molluscs
Ammunition,"general term for a wide range of weapon items such as bombs, missiles, mines and projectiles"
Densitometer,device that measures the degree of darkness of a photographic or semitransparent material or of a reflecting surface
Salpingitis,infection and inflammation in the fallopian tubes
Buprestidae,family of insects
TRIZ,theory behind innovative problem solving towards tasks
Beaufort scale,empirical measure describing wind speed based on observed conditions
Low-cost carrier,airline that generally has lower fares
Transliteration,conversion of a text from one script to another
Americanization,American influence on other cultures
Public fund,"government consumption, investment, and transfer payments"
Hypermobility (travel),The field of study related to Hypermobility (travel).
Uncertainty reduction theory,"postpositivist communication theory that, when interacting, people need information about the other party in order to reduce their uncertainty"
Sexual stimulation,"stimulus that leads to, enhances and maintains sexual arousal"
Business-to-business,commercial transaction between businesses
Toothache,medical condition of the teeth
Ibis,subfamily of birds
Combretaceae,family of plants
Information economy,"An economic branch and at the same time the teaching or science of the efficient procurement, organization, representation, distribution, presentation and storage of information."
Structural complexity,The field of study related to Structural complexity.
Equidae,family of mammals
Extended producer responsibility,strategy designed to promote the integration of environmental costs associated with goods
Maxim,concise expression of a fundamental moral rule
Leasehold estate,ownership of a temporary right to hold land or property
Parabiosis,technical term in various fields
Endemic diseases,epidemiological term describing a disease which is constantly present in a specific area
Metabolic cost,value of money that has been used up to produce something
Transillumination,The field of study related to Transillumination.
Grocery shopping,retail store that primarily sells food and other household supplies
Counting process,The field of study related to Counting process.
Same sex,Wikimedia disambiguation page
Trusted third party,The field of study related to Trusted third party.
Eriocheir,genus of crustaceans
Low vision,decreased ability to see
Western culture,"heritage of norms, customs, belief and political systems, and artifacts and technologies associated with Europe (both indigenous and foreign origin)"
Call graph,The field of study related to Call graph.
Mathematical sciences,"group of areas of study that includes, in addition to mathematics, those academic disciplines that are primarily mathematical in nature"
Shape change,"ability to physically transform through an inherent ability, divine intervention or magic"
Information cascade,behavioral phenomenon
Dental research,branch of medicine dealing with oral health and teeth
Peer mentoring,form of mentorship
Regionalisation,process of defining areas or regions based on selected set of characteristics
Negativity bias,psychological phenomenon by which humans have a greater recall of unpleasant memories compared with positive memories
Network analyzer (electrical),"Instrument for microwave characteristics measurements (such as VSWR,Power, Frequency,etc)."
Incidentaloma,an unanticipated finding which is not related to the original diagnostic inquiry
Time to market,The field of study related to Time to market.
Trisodium citrate,chemical compound
Garcinia mangostana,species of plant
Thurstone scale,"first formal technique to measure an attitude, from 1928"
Pseudoxanthoma elasticum,Human disease
Dysesthesia,"unpleasant, abnormal sense of touch"
Joint instability,The field of study related to Joint instability.
Phase coherence,ideal property of waves that enables stationary (i.e. temporally and spatially constant) interference
Firth,word in the Lowland Scots language and in English used to denote various coastal waters in Scotland and England
Tamarix,genus of plants
Museology,study of museums
Mascot,object that is supposed to bring good luck or that is used for symbolize an organization and particular event
Discography,study and cataloging of published sound recordings
Killing vector field,vector field on a Riemannian manifold that preserves the metric
Passion fruit,species of plant
Neuropsychopharmacology,the study of the neural mechanisms that drugs act upon to influence behavior
Data source,Wikimedia disambiguation page
Reduction potential,measure of tendency of a substance to gain or lose electrons
Plagiarism detection,the process of detecting plagiarism
Vacuum chamber,rigid enclosure from which air and other gases are removed by a vacuum pump
Pantograph,drawing tool
Designtheory,subfield of design research
Black female,a racialized skin color-based classification of people with origins in the tropical climate zone of Africa and Melanesia
Protozoan infection,parasitic disease caused by a protozoan
Camellia,Feistel network based block cipher
Ableism,discrimination or negative attitudes against people with disabilities
Trojan horse,type of malware
Respiratory Medicine,journal
Clostridioides,genus of bacteria
Ivory tower,metaphor
Passenger transport,human-directed movement of things or people between locations
Comparative method,"phylosophic method of comparativism, technique for studying the development of scientific fields by comparing them, apparently, in different language groups"
Preclinical testing,preclinical testing of drugs in experimental animals or in vitro for their biological and toxic effects and potential clinical applications
Technology innovation,The field of study related to Technology innovation.
Triethylenetetramine,chemical compound
Benzoates,Wikimedia disambiguation page
Multistage sampling,The field of study related to Multistage sampling.
Back muscles,body part
Global education,The field of study related to Global education.
Condition index,The field of study related to Condition index.
Philosophy of mathematics,"Branch of philosophy that studies the assumptions, foundations, and implications of mathematics"
Nearest neighbour,Wikimedia disambiguation page
Marginal value,The field of study related to Marginal value.
Stereographic projection,particular mapping that projects a sphere onto a plane
Bernstein polynomial,type of polynomial used in Numerical Analysis
Scientific writing,writing style or expression register for science
Flowering plant,clade of flowering plants (in APG I-III)
Random noise,random fluctuation in a physical signal
Colocasia esculenta,species of plant
Complex formation,"molecule or ion containing ligands datively bonded to a central atom, which is usually metallic"
Pediatric urology,The field of study related to Pediatric urology.
Theoretical plate,The field of study related to Theoretical plate.
Sterna,genus of birds
Fire test,The field of study related to Fire test.
Lacrimal sac,"Upper, dilated end of the nasolacrimal duct"
Flat panel,electronic display device in a flat form factor
Coming out,process of revealing one's sexual orientation or other attributes
Repertory grid,interviewing technique
Heterotopia (medicine),the displacement of an organ from its normal position
Antithesis,something that is the opposite of something else
Locative case,grammatical case which indicates a location
Transport network,physical spacial network for vehicle movement and transportation of goods over thoroughfares between multiple locations
Bipolaris,genus of fungi
Maldevelopment,The field of study related to Maldevelopment.
Linguistic analysis,work of objectively describing the state of a linguistic system; as opposed to prescribing perceived norms of usage
Plant morphology,part of botany
Social statistics,use of statistical measurement systems to study human behavior in a social environment
Earth model,mathematical descriptions of Earth's complex shape
Parenting skills,process of promoting and supporting the development of a child; refers to the aspects of raising a child aside from the biological relationship
Fexofenadine,Antihistamine medication
Vernal keratoconjunctivitis,Human disease
Illusion of control,tendency for people to overestimate their ability to control events
Recovery rate,The field of study related to Recovery rate.
Gigantism,human disease which causes the body to grow abnormally large
Insect repellent,substance which repels insects
Military science,"theory, method, and practice of producing military capability"
Parabolic reflector,reflector / collector that has the shape of a paraboloid
Human values,"personal value, basis for ethical action"
Setback,Archtectural term
Corm,plant stem
Conus,genus of molluscs
Lagrangian point,one of five positions in an orbital configuration of two large bodies where a small object can maintain a stable relative position
Environmental sociology,study of interactions between societies and their natural environments
Myositis ossificans,myositis that is accompanied by ossification of muscle tissue or bony deposits in the muscles
Rail transit,term for various types of local rail systems
Brill,species of fish
Linguistic anthropology,interdisciplinary study of how language influences social life
Imperforate anus,congenital disorder of digestive system
Pyricularia,genus of fungi
Spillage,The field of study related to Spillage.
Avoidance behaviour,severe form of social anxiety
Cost control,A systematic set of procedures for recording and reporting measurements of the cost of manufacturing goods and performing services in the aggregate and in detail
Adrenal function,endocrine gland that produces a variety of hormones
Orotic acid,chemical compound
Folk psychology,explanation of people in terms of mental states
Future orientation,"the extent to which an individual thinks about the future, anticipates future consequences, and plans ahead before acting"
Terms of trade,amount of import goods an economy can purchase per unit of export goods
Shotcrete,building material
Action theory (sociology),sociological theory of social action
Repeal,removal or reversal of a law
Grade level,classification system for progress during formalized education
"1,2,3-Triazole",isomeric chemical compound
Vascular network,"three independent systems that work together: cardiovascular, pulmonary and systemic"
Alizarin,chemical compound and histologic stain
Arithmetic underflow,Condition in programming where a calculated value is too small to be represented in memory
Bisection method,root-finding method in mathematics that repeatedly bisects an interval and then selects a subinterval in which a root must lie
Waste recycling,process using materials into new products to prevent waste of potentially useful materials
Cebidae,family of mammals
Weyl group,subgroup of a root system's isometry group
Regional variation,The field of study related to Regional variation.
