topic_name,topic_description
Longest common subsequence problem,the problem of finding a sequence that is a subsequence of each of a given set of sequences and is as long as possible
Eschar,slough or piece of dead tissue that is cast off from the surface of the skin
Neddylation,Covalent attachment of the ubiquitin-like protein NEDD8 (RUB1) to another protein.
Li–Fraumeni syndrome,"autosomal dominant disease characterized by increased risk of developing several types of cancer, including breast cancer, osteosarcomata and soft tissue sarcomata"
Mitochondrial ribosome,A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes.
Judicial opinion,judge's written explanation of case judgment
Digit ratio,ratio of the lengths of different digits or fingers typically measured from the midpoint of bottom crease (where the finger joins the hand) to the tip of the finger
Polar wander,The field of study related to Polar wander.
Signage,design or use of signs and symbols on physical objects to communicate a message to a particular audience in a particular context
Permanent wilting point,minimum amount of water in the soil that the plant requires not to wilt
Bovine pancreatic ribonuclease,protein in Bos taurus
Compartment Syndromes,condition in which increased pressure within one of the body's compartments results in insufficient blood supply to tissue within that space
Consumption function,objective factor and subjective factor
Matriculation,entering a university
Universal memory,proposed form of computer storage
Risk factors for breast cancer,The field of study related to Risk factors for breast cancer.
Search-based software engineering,The field of study related to Search-based software engineering.
Protein detection,The field of study related to Protein detection.
Soil series,succession of soil horizons
Trapezoid body,part of the auditory pathway
Linear least squares,least squares approximation of linear functions to data
Personal life,course or state of an individual's life
Redshift-space distortions,effect in cosmology where the spatial distribution of galaxies as a function of redshift appears squashed due to Doppler shift from peculiar velocities on top of cosmological redshift
Panniculitis,Inflammation of the subcutaneous adipose tissue
Monocropping,growing the same crop each year
Low-protein diet,diet in which people decrease their intake of protein
Coparenting,type of parenting
Relativistic electron beam,Stream of elections moving at relativistic speeds.
History of medicine,study of the development of medicine over time
Acinus,considered by some (but not all) sources to be synonymous with Alveolus
Law of total covariance,The field of study related to Law of total covariance.
Cuneate nucleus,The field of study related to Cuneate nucleus.
Security management,"identification of an organization's assets and potential risks, followed by the development, documentation, and implementation of policies and procedures for protecting these assets"
Impact structure,"crater-like geologic structure caused by impact on a planetary surface, after erosion"
S100 protein,family of vertebrate proteins involved in cell division and inflammation
Water chemistry,The field of study related to Water chemistry.
User requirements document,The field of study related to User requirements document.
Cultural policy,"policy intended to impact the arts, language, heritage, or diversity"
Natura 2000,network of protected areas in the territory of the European Union
Reporting bias,selective revealing or suppression of unhelpful information
Composite plate,The field of study related to Composite plate.
Restoring force,brings system back toward equilibrium
Disdrometer,instrument used to measure the drop size distribution and velocity of falling hydrometeors
Ciona,genus of tunicates
Burmese,language spoken in Myanmar
Mucosal melanoma,"melanoma that has material basis in melanocytes located in mucosal membranes lining the respiratory, gastrointestinal and urogenital tract"
Video recording,"electronic medium for the recording, copying and broadcasting of moving visual images"
Alpine plant,plants that grow at high elevation
Rigged Hilbert space,Hilbert space equipped with a dense subspace that carries (in addition to the subspace topology) a finer topology such that the inclusion map is continuous
Relative intensity noise,The field of study related to Relative intensity noise.
Medical advice,formal professional opinion of a health professional regarding healthcare decisions made by or on behalf of a patient
Graphyne,The field of study related to Graphyne.
Optimal maintenance,The field of study related to Optimal maintenance.
Sleep Bruxism,disorder that involves involuntarily grinding or clenching of the teeth
Monochorionic twins,identical twins that share the same placenta
Electrochemical machining,method of removing metal by an electrochemical process
Generation time,average time from one generation to another within the same population
Flagging,colored non-adhesive tape used for marking objects
Purine analogue,class of antymetabolites for cytostatic chemotherapy
Crankshaft,heart of a flywheel
Paleoethnobotany,"study of remains of plants cultivated or used by man in ancient times, which have survived in archaeological contexts"
Voice therapy,voice therapy is used to aid voice disorders or altering quality of voice
Hotline,point-to-point communications link
Report card,document displaying a student's academic performance
Dutch disease,apparent causal relationship between the increase in the economic development of a specific sector and a decline in other sectors
Rollback,"an operation which returns the database to some previous state, which is crucial for recovering from database server crashes"
Secession,"act of withdrawing from an organization, union, military alliance or especially a political entity"
Direct methods,The field of study related to Direct methods.
Tidal heating,Thermal effect of tidal forces
Bipyramid,polyhedron formed by joining a pyramid and its mirror image base-to-base
Recalcitrant seed,Plant seeds intolerant of drying or cold
Object model,The field of study related to Object model.
CMOS sensor,image sensor consisting of an integrated circuit
Hemarthrosis,bleeding into joint spaces
Forest degradation,Loss of biological wealth of a forest
Clinical neuropsychology,sub-field of neuropsychology concerned with the applied science of brain-behaviour relationships
Rookery,colony of breeding animals
Sine qua non,phrase
Therapeutic community,psychotherapeutic technique which emphasizes socioenvironmental and interpersonal influences in the resocialization and rehabilitation of the patient
Solar chimney,The field of study related to Solar chimney.
Pastry,overlay and routing network for the implementation of a distributed hash table
Challenging behaviour,The field of study related to Challenging behaviour.
Monetary hegemony,economic and political concept in which a single state has decisive influence over the functions of the international monetary system
Mycobiota,fungi present in a certain place
Chilled water,The field of study related to Chilled water.
Intermediate frequency,frequency to which a carrier wave is shifted as an intermediate step in transmission or reception
Lean burn,burning of fuel with an excess of air in an internal combustion engine
Nacelle,part of an aircraft
Aortic sinus,"one of the anatomic dilations of the ascending aorta, which occurs just above the aortic valve"
Inverted index,Type of database index
Market analysis,study of the attractiveness and the dynamics of a market within an industry
Transportation theory,the mathematical study of optimal transportation and allocation of resources
Symmetry operation,Operations in molecular symmetry where the initial displacements of the atoms are unchanged
Listeriolysin O,The field of study related to Listeriolysin O.
Double pendulum,pendulum with another pendulum attached to its end
Vetting,Checking the background of someone
Wrench,tool used to provide grip and mechanical advantage
Capsulitis,inflammation of a joint capsule
Blood serum,cell free fraction of blood
Embryonal rhabdomyosarcoma,rhabdomyosarcoma with mesenchymally-derived malignant cells resembling the developing skeletal muscle of the embryo
Etiquette,customary code of polite behaviour
Neuromuscular monitoring,The field of study related to Neuromuscular monitoring.
Rockslide,type of landslide caused by rock failure
False accusation,claim or allegation of wrongdoing that is untrue
Cadastre,comprehensive register of the real estate or real property's metes-and-bounds of a country
Senior management,Team of individuals at the highest level of organizational management who have the day-to-day responsibilities of managing a company or corporation
Berlekamp–Welch algorithm,The field of study related to Berlekamp–Welch algorithm.
Type I string theory,"theory of strings where left- and right-movers are identified via orientifolding, obtained as IIB string theory with 32 spacetime-filling D9-branes (producing a O(32) gauge group) and a spacetime-filling O9-plane"
Bruch's membrane,membrane in the eye
Deuterium NMR,The field of study related to Deuterium NMR.
Main effect,The field of study related to Main effect.
Specific dynamic action,the thermic effect of food
Er:YAG laser,The field of study related to Er:YAG laser.
Optical mapping,The field of study related to Optical mapping.
Method of characteristics,technique for solving hyperbolic partial differential equations
Political freedom,concept in Western history and political thought
Signet ring cell carcinoma,"adenocarcinoma that derives from epithelial cells originating in glandular tissue, which have signet ring appearance"
Bhatnagar–Gross–Krook operator,collision operator used in a computational fluid dynamics technique
Bogie,framework which carries a wheelset and is attached to a rail vehicle
Quantum phase estimation algorithm,quantum algorithm for eigenvalue estimation
Dependency graph,directed graph representing dependencies of several objects towards each other
Bottom-up parsing,parsing approach that starts from the leaf nodes of a tree and works in upward direction till it reaches the root node
Simple group,group without normal subgroups other than the trivial group and itself
International Reference Ionosphere,international standard empirical model for the terrestrial ionosphere
One-way quantum computer,quantum computer that first prepares an entangled resource state and then performs single qubit measurements on it
Public hospital,hospital which is owned by a government and receives government funding
Potentiostat,electronic system controlling a three electrode cell
Ion track,The field of study related to Ion track.
Revised Trauma Score,system to evaluate injuries secondary to violent trauma
Pulsed laser,any laser not classified as continuous wave
Box–Jenkins,method to find best fit of a time-series model
Hand-pollination,mechanical pollination technique
Protein–lipid interaction,The field of study related to Protein–lipid interaction.
Chip-scale package,Integrated circuit package that is no or barely larger than the integrated circuit it contains
Richtmyer–Meshkov instability,The field of study related to Richtmyer–Meshkov instability.
IEEE 802.11u,wireless networking standard in the 802.11 family
Vowel harmony,sound change in vowels
Minimisation (clinical trials),The field of study related to Minimisation (clinical trials).
Dirac algebra,The field of study related to Dirac algebra.
Debye–Hückel equation,Equation to calculate activity coefficients of ions in aqueous solution as a function of ionic strength
Speech segmentation,segmentation of speech
Ergative case,grammatical case that identifies the subject of a transitive verb in ergative–absolutive languages
Shakedown,"continuum mechanics behavior in which plastic deformation takes place during running in, while the steady state is perfectly elastic"
Private good,The field of study related to Private good.
Technology management,set of management disciplines that allows organizations to manage their technological fundamentals to create competitive advantage
Acanthocephala,phylum of parasitic worms
Maximum satisfiability problem,The field of study related to Maximum satisfiability problem.
Bence Jones protein,urinary protein found in plasma cell disorders
Advanced Microwave Sounding Unit,series of microwave radiometers installed on meteorological satellites
Operator norm,map that assigns a length or size to any operator in a function space
Natural monopoly,type of monopoly where the average costs are always decreasing throughout the market demand
Diaspore (botany),botany
Rashba effect,The field of study related to Rashba effect.
Broom,cleaning tool
Yield management,The field of study related to Yield management.
Kilodalton,unit of mass
Testicular atrophy,Testicular Atrophy
Lawsuit,civil action brought in a court of law
Reticulum,part of ruminant's digestive system
Social loafing,the phenomenon of a person exerting less effort to achieve a goal when they work in a group than when working alone
Halo mass function,The field of study related to Halo mass function.
Glenoid cavity,part of the shoulder
Prostate brachytherapy,A radiation therapy technique for the treatment of cancer
Roll-to-roll processing,Technology in printing technology
Orientifold,"string-theoretic construction in which the operator Ω (worldsheet orientation reversal), possibly with a target space isometry, is orbifolded"
Equivalent series inductance,The field of study related to Equivalent series inductance.
Peutz–Jeghers syndrome,autosomal dominant genetic disorder characterized by the development of benign hamartomatous polyps in the gastrointestinal tract and hyperpigmented macules on the lips and oral mucosa (melanosis)
Irreducibility,The field of study related to Irreducibility.
Myrmecophyte,plants that live in association with ants
Lapilli,Small pyroclast debris thrown in the air by a volcanic eruption
Left behind,"series of 16 novels by Tim LaHaye and Jerry B. Jenkins, published 1995-2007"
Azurin,A small periplasmic bacterial blue cupper protein
Glycosyl donor,The field of study related to Glycosyl donor.
Risk governance,"the institutions, rules conventions, processes and mechanisms by which decisions about risks are taken and implemented"
Conformal coating,thin coating painted onto a printed circuit board assembly to protect its components
Confessional,"small, enclosed booth used for confession"
Canonical transformation,in Hamiltonian mechanics
Case presentation,depression
Solidity,Object-oriented programming language for writing smart contracts.
Optical add-drop multiplexer,device used to route channels in an optical communication system
Osmometer,"device for measuring the osmotic strength of a solution, colloid, or compound"
Deep packet inspection,type of data processing
Compound Poisson process,The field of study related to Compound Poisson process.
Soundproofing,reducing the sound pressure with respect to a specified sound source and receptor
Muslim world,"Muslim-majority countries, states, districts, or towns"
High latitude,regions around the Earth's geographical poles
Risk management tools,"tool addressing uncertainty by identifying and generating metrics, parameterizing, prioritizing, and developing responses, and tracking risk"
Impact evaluation,what is monitoring and evaluation
Cayley graph,graph whose vertices and edges represent the elements of a group and their products with the generators of the group
Myxozoa,Unranked parasitic microscopic cnidarians
Derogation,partial suppression of a law
Inorganic pyrophosphatase,group of proteins having inorganic pyrophosphatase activity
Tetrahedral molecular geometry,The field of study related to Tetrahedral molecular geometry.
Eczema Area and Severity Index,The field of study related to Eczema Area and Severity Index.
Statistical ensemble,set of possible states
Wafer dicing,the process by which die are separated from a wafer of semiconductor following the processing of the wafer
Draft tube,The field of study related to Draft tube.
Voluntary action,The field of study related to Voluntary action.
Tidal flat,"a relatively level area of mud either between high and low tide lines, or subject to flooding; form of tidal flat, the other being sandflat"
High-refractive-index polymer,The field of study related to High-refractive-index polymer.
Determinacy,"subfield of set theory,that examines the conditions under which one or the other player of a game has a winning strategy, and the consequences of the existence of such strategies; (alternatively) property of a game whereby such a strategy exists"
Analog-to-digital converter,"system that converts an analog signal, such as a sound picked up by a microphone or light entering a digital camera, into a digital signal; device converting a physical quantity to a digital number"
Broadside,single sheet of paper printed on one side
Lorenz curve,"graphical representation of the distribution of income or wealth; shows, for the bottom x%% of households, what percentage (y%%) of the total income they have"
Multi-factor authentication,authentication method in which a computer user is granted access only after successfully presenting two or more pieces of evidence (or factors) to an authentication mechanism
Knot invariant,function of a knot that takes the same value for equivalent knots
G protein-coupled inwardly-rectifying potassium channel,G protein-coupled inwardly-rectifying potassium channel
Prilocaine,Local anesthetic of the amino amide type
Lingual papilla,structure on the upper surface of the tongue that give the tongue its characteristic rough texture
Serializability,property of database transactions
Hypoallergenic,The field of study related to Hypoallergenic.
Information access,"freedom or ability to identify, obtain and make use of database or information effectively"
Commensurability (mathematics),"when two functions have co-rational periods, i.e. n T1 = m T2"
Child poverty,state of children living in poverty
Chemical database,database specifically designed to store chemical information
Missile guidance,variety of methods of guiding a missile
Single market,type of trade bloc with most trade barriers removed
Reboiler,chemical equipment for vaporization
Auditory imagery,form of mental imagery that is used to organize and analyze sounds when there is no external auditory stimulus present
Generics in Java,Form of abstraction for type or method to allow them to be functions of a type parameter
Precipitation types,"classes of precipitation distinguished by character, phase, or physical properties"
Machado–Joseph disease,autosomal dominant cerebellar ataxia that is characterized by slow degeneration of the hindbrain and has material basis in expansion of CAG triplet repeats (glutamine) in the ATXN3 gene
Life annuity,type of annuity
Hoek–Brown failure criterion,The field of study related to Hoek–Brown failure criterion.
Main Central Thrust,The field of study related to Main Central Thrust.
Historical geology,academic discipline that uses the principles and techniques of geology to reconstruct and understand the geological history of Earth
Dental composite,The field of study related to Dental composite.
Lightning detection,device that detects lightning
Collective responsibility,"Philosophical, social and political concept describing responsibility of organizations, groups and societies"
Remotely triggered earthquakes,The field of study related to Remotely triggered earthquakes.
Beach nourishment,The field of study related to Beach nourishment.
Adjective check list,The field of study related to Adjective check list.
Prp24,The field of study related to Prp24.
Geovisualization,analysis of geospatial data using interactive visualization
Growth hormone treatment,The field of study related to Growth hormone treatment.
Radioluminescence,"Radioluminescence is a glowing type of luminescence, a kind of paint used in zinc sulfide."
Usher syndrome,syndrome characterized by a combination of hearing loss and visual impairment
Brier score,measure of the accuracy of probabilistic predictions
Lennox–Gastaut syndrome,rare but severe childhood-onset epilepsy
Electrochemical potential,intensive physical property of substances
Oral allergy syndrome,allergic reaction in the mouth following eating food
Buffer overflow,anomaly in computer security and programming that could be exploited as a security vulnerability
Rote learning,memorization technique based on repetition
Braille,writing system for blind and visually impaired people
Uncountable set,set with cardinal number larger than that of the set of all natural numbers
Serotonin Agonist,Endogenous compounds and drugs that bind to and activate serotonin receptors. Many serotonin receptor agonists are used as antidepressants; anxiolytics; and in the treatment of migraine disorders
Near-Earth object,Solar System object whose orbit brings it into proximity with Earth
Myocardial infarction diagnosis,created by integrating the history of the presenting illness and physical examination with electrocardiogram findings and cardiac markers
Unit cost,The field of study related to Unit cost.
iTraxx,The field of study related to iTraxx.
Atomic layer epitaxy,The field of study related to Atomic layer epitaxy.
Magnetoreception,biological ability to perceive magnetic fields
CD64,integral membrane glycoprotein
Urban climatology,scientific study of atmosphere and the urban environment
Cognitive models of information retrieval,The field of study related to Cognitive models of information retrieval.
Aviation medicine,medical specialty in effect of aviation on the body
Grammatical gender,grammatical system of noun classification
Chabazite,"chabazite series, zeolite"
Commodity chain,Agricultural and industrial distribution process
Poliomyelitis eradication,Effort to permanently eliminate all cases of poliomyelitis infection
Sedimentary basin analysis,The field of study related to Sedimentary basin analysis.
Stethoscope,acoustic medical device for auscultation
Social movement theory,The field of study related to Social movement theory.
Waste oil,The field of study related to Waste oil.
Mean time between failures,predicted elapsed time between inherent failures of a system during operation
Pyrenoid,A non-membrane-bounded organelle found within the chloroplasts of algae and hornworts; responsible for carbon dioxide fixation.
Algebraic combinatorics,application of abstract algebra to combinatorics problems
Reachability problem,problem in math and computer science
pH indicator,halochromic chemical compound added in small amounts to a solution so the pH of the solution can be determined visually
Willingness to communicate,The field of study related to Willingness to communicate.
Switchgear,electrical switches that protect or control other parts
Pyoverdine,"group of compounds, produced by bacteria"
Plant genetics,"study of genes, heredity in plants"
Context-dependent memory,psychological effect of improved recall of specific information when the context is the same as when it was learned
Chondrocalcinosis,arthritis that has material basis in the accumulation of salt crystals located in joint
Lachman test,clinical test to diagnose knee ligament injury
Uniform convergence,mode of convergence of a function sequence
Directional derivative,The field of study related to Directional derivative.
Localized disease,The field of study related to Localized disease.
Ascocarp,sporocarp of an ascomycete phylum fungus.  Ascocarps are most commonly bowl-shaped (apothecia) but may take a spherical (cleistothecia) or flask-like (perithecia) form
Significance analysis of microarrays,The field of study related to Significance analysis of microarrays.
Ornstein–Uhlenbeck process,stochastic process with applications in financial mathematics and the physical sciences
Agrarian reform,changes to agricultural land management
Salvage logging,Logging of trees from damaged/destroyed forest areas to salvage economic value
Multiple-scale analysis,The field of study related to Multiple-scale analysis.
Mumps virus,viral agent that causes mumps
Osmotic coefficient,quantity characterizing the deviation of a solvent from ideal behavior
Contrast transfer function,The field of study related to Contrast transfer function.
Uniprocessor system,Computer system with one CPU
Turing test,test of a machine's ability to exhibit intelligent behavior equivalent to that of a human
White spaces,frequencies allocated to a broadcasting service but not used locally
Strategic environmental assessment,The field of study related to Strategic environmental assessment.
Hazard map,map that highlights areas that are affected by or vulnerable to a particular hazard
Polymicrogyria,A condition that affects the development of the human brain by multiple small gyri (microgyri) creating excessive folding of the brain leading to an abnormally thick cortex.
Stability conditions,"various standard loading configurations to which a ship, boat, or offshore platform may be subjected"
Input–output model,quantitative economic model that represents the interdependencies between different sectors of a national economy or different regional economies
Macrocystis pyrifera,species of kelp
Free energy principle,theory in neuroscience developed by Karl J. Friston
Studentized range,The field of study related to Studentized range.
Subjective video quality,assesment of video quality as experienced by humans
Hexapod,mechanical vehicle that walks on six legs
HOL,family of interactive theorem proving systems using similar (higher-order) logics and implementation strategies
Loratadine,chemical compound; medication used to treat allergies
CubeSat,miniaturized satellite made up of 10 cm×10 cm×10 cm cubic modules
Strain partitioning,geological deformation process
Current limiting,safety feature that cuts off or limits excessive electrical current
Multifidus muscle,Muscle in the back
Marriage market,The field of study related to Marriage market.
Range query (database),The field of study related to Range query (database).
P200,Neurology term
Corner detection,The field of study related to Corner detection.
Language delay,language disorder in which a child fails to develop language normally
Axon hillock,Portion of the neuronal cell soma from which the axon originates.
Alphanumeric,set of alphabetic and numeric characters
CloudSim,The field of study related to CloudSim.
Causal loop diagram,causal diagram that aids in visualizing how different variables in a system are interrelated. The diagram consists of a set of nodes and edges
Tooth Remineralization,overview about the remineralisation of teeth
Dowel,solid cylindrical rod used as structural reinforcement
Waiver,voluntary relinquishment or surrender of some known right or privilege
Oxonium ion,chemical species containing a positively-charged oxygen with 3 bonds
Reverse vaccinology,approach to vaccinology by using genomics to find antigens
Pointwise convergence,notion of convergence in mathematics
Test site,site-specific installation by Carsten Höller
Nanoindenter,The field of study related to Nanoindenter.
Pulse-position modulation,form of signal modulation in which the message is encoded by transmitting a single pulse in one of various possible time shifts
XPath,query language for selecting nodes from an XML document
Windthrow,trees uprooted or broken by wind
Nursing Outcomes Classification,The field of study related to Nursing Outcomes Classification.
Osteosclerosis,bone remodeling disease that results in abnormal elevated bone density or mass
Stupor,total or nearly total lack of spontaneous movements (disease)
Distributed power,The field of study related to Distributed power.
Ovarian cyst,fluid-filled sac in the ovary
Laminar flow reactor,The field of study related to Laminar flow reactor.
Politeness theory,social and linguistic theory of politeness
Magnetic flux quantum,quantized unit of magnetic flux threading a loop in a bulk superconductor
Stadium,two-dimensional geometric shape constructed of a rectangle with semicircles at a pair of opposite sides
Meat and bone meal,type of animal product
Filter capacitor,Uses Of Capacitors In Daily Life.
Mean length of utterance,The field of study related to Mean length of utterance.
Tufa,porous limestone rock
Bookmarking,mechanism of transmission of gene expression programs through cell division
Antistatic agent,compound used for treatment of materials or their surfaces in order to reduce or eliminate buildup of static electricity
Double heterostructure,The field of study related to Double heterostructure.
Mechanical biological treatment,system
Magnetic resonance neurography,The field of study related to Magnetic resonance neurography.
Finger millet,finger millet is called oburo in some parts of Uganda
Real-time MRI,type of MRI
Tracheomalacia,tracheal disease
Single-subject design,research designed for one participant
Tryptic soy broth,The field of study related to Tryptic soy broth.
Face Recognition Grand Challenge,challenge
Chinese people,national group
Automatism (medicine),set of brief unconscious behaviors
X-ray telescope,telescope designed to observe objects in the X‑ray band of the electromagnetic spectrum
Palladium-hydrogen electrode,Redox electrode
Microwave engineering,study and design of microwaves
Capsulorhexis,making of a tear in the anterior capsule during cataract surgery
Stewart platform,Type of parallel manipulator
Scale for the Assessment of Negative Symptoms,psychological diagnostic rubric
Narcissistic personality disorder,"personality disorder that involves an excessive preoccupation with issues of personal adequacy, power, prestige and vanity"
Transimpedance amplifier,amplifier that converts current to voltage
Design pattern,formal way of documenting a solution to a design problem in a particular field of expertise
Infrared telescope,telescope that uses infrared light to detect celestial bodies
Bud,Unmatured and embryonic shoot
Cypress,name applied to many plants of different genera
Process theory,system of ideas that explains how an entity changes and develops;focus on how something happens
Asian option,The field of study related to Asian option.
Erosion corrosion of copper water tubes,The field of study related to Erosion corrosion of copper water tubes.
Delayed neutron,"neutron emitted after a nuclear fission event, as a fission product daughter after beta decay, any time from a few milliseconds to a few minutes after the fission event"
Analytic reasoning,The field of study related to Analytic reasoning.
DART ion source,The field of study related to DART ion source.
Purge,forceful removal of people considered undesirable
Forming limit diagram,The field of study related to Forming limit diagram.
Runs of Homozygosity,The field of study related to Runs of Homozygosity.
Fat body,organ for nutrient storage and conversion in arthropods
Mixed acid fermentation,"The anaerobic chemical reactions and pathways resulting in the breakdown of glucose into ethanol, lactate, formate, succinate, and acetate, yielding energy in the form of ATP."
Elitism,"belief or attitude that some individuals, who form an elite, are those whose influence or authority is greater than that of others"
Suffix array,computer science term: sorted array of all suffixes of a string
Lead smelting,The field of study related to Lead smelting.
Context switch,switch between processes or tasks on a computer
Proof mass,The field of study related to Proof mass.
Lagrange polynomial,polynomials used for interpolation
Counterpoise,device used as a substitute for a ground connection in a radio antenna system
Gonadotropin-releasing hormone agonist,drug class affecting sex hormones
Presentational and representational acting,The field of study related to Presentational and representational acting.
Cartesian tensor,algebraic object in the Cartesian coordinate system
Supersingular elliptic curve,class of elliptic curves over a field of positive characteristic with unusually large endomorphism rings
Fiber diffraction,subarea of scattering
Epididymitis,"disease characterized by inflammation of the epididymis, a structure at the back of the testicle"
21st century skills,Skills that have been identified as being required for success in 21st century
Pidgin,simplified language
56-bit encryption,The field of study related to 56-bit encryption.
Toxic equivalency factor,factor
Air traffic management,"The aggregation of the airborne functions and ground-based functions (air traffic services, airspace management and air traffic flow management) required to ensure the safe and efficient movement of aircraft during all phases of operations."
Aromatic amine,amines with amine group attached to an aromatic ring
System bus,"single computer bus that connects the major components of a computer system, combining the functions of a data bus to carry information, an address bus to determine where it should be sent, and a control bus to determine its operation"
Refuse-derived fuel,extracted combustible fraction of municipal and other solid waste
Frequency grid,The field of study related to Frequency grid.
Self-ionization of water,Autoprotolysis or exchange of a proton between two water molecules
Quasinormal operator,The field of study related to Quasinormal operator.
Chemoprotective,Drugs that protect against the harmful effects of chemotherapy
Aerial root,root which grows above the ground
Autacoid,biological factors that act like hormones
Xeon Phi,series of x86 manycore processors from Intel
Asepsis,absence of disease-causing microorganisms
Adrenarche,stage of higher primate sexual development
Automotive engine,car and truck technology
Virtual Laboratory,Online database of the Max Planck Institute for the History of Science
Cecropin,group of pore-forming peptides produced by insects
Subjectification,The field of study related to Subjectification.
Roche lobe,Teardrop-shaped spacetime distortion near binary stars
Avelumab,fully human IgG1 anti-PD-L1 monoclonal antibody under investigation for immunotherapy
Commodity market,physical or virtual transactions of buying and selling involving raw or primary commodities
MODELLER,software for homology modeling
Chevron (anatomy),The field of study related to Chevron (anatomy).
Phytodetritus,The field of study related to Phytodetritus.
Plant reproductive morphology,study of the physical form and structure (the morphology) of those parts of plants directly or indirectly concerned with sexual reproduction
Septoplasty,The field of study related to Septoplasty.
Ovis canadensis,species of sheep native to North America
Resonant inverter,The field of study related to Resonant inverter.
Cord lining,The field of study related to Cord lining.
Soar,symbolic cognitive architecture
Positive behavior support,behavior management system used to understand what maintains an individual's challenging behavior
Fiscal sustainability,The field of study related to Fiscal sustainability.
Health impact assessment,method to assess impacts of an action or risk factor on health and to produce a set of evidence-based recommendations to inform decision-making
Metallic bonding,"type of chemical bond in metals, sharing conduction electrons among a lattice of cations"
Water body,"any significant accumulation of water, generally on a planet's surface"
Temporal isolation among virtual machines,The field of study related to Temporal isolation among virtual machines.
Coherent risk measure,The field of study related to Coherent risk measure.
Allanite,"epidote supergroup, sorosilicate series"
Depolarization ratio,The field of study related to Depolarization ratio.
Hypomethylating agent,The field of study related to Hypomethylating agent.
Real gas,non-hypothetical gases whose molecules occupy space and have interactions
Recombination signal sequences,noncoding DNA that are recognized by the RAG1/RAG2 enzyme complex during V(D)J recombination in immature B cells and T cells
Lanczos algorithm,numerical method for find eigenvalues
Group action,Operation of the elements of a group as transformations or automorphisms (mathematics)
Eikonal approximation,The field of study related to Eikonal approximation.
Subdwarf,star of luminosity class VI under the Yerkes spectral classification system
Gaussian orbital,The field of study related to Gaussian orbital.
Asexuality,sexual orientation where there is a lack of sexual attraction to anyone
Erythrocyte fragility,Red cell fragility is susceptibility of erythrocytes to rupture under physical stress.
Ontology engineering,"field which studies the methods and methodologies for building ontologies, which are formal representations of a set of concepts within a domain and the relationships between those concepts"
High-dynamic-range imaging,imaging technique to increase representable range of luminosity
Antagomir,chemically-engineered oligonucleotides used to inhibit expression of target genes
Shear matrix,The field of study related to Shear matrix.
Sentinel species,organisms used to detect risks to humans by providing advance warning of a danger
Flexible AC transmission system,a power electronics-based system composed of static equipment used for the AC transmission of electrical energy to enhance controllability and increase power transfer capability of the network
Eutheria,clade of mammals
Raney nickel,fine-grained solid
Popular sovereignty,political term
Tn3 transposon,The field of study related to Tn3 transposon.
Development geography,Gauteng
Freund's adjuvant,antigen solution emulsified in mineral oil
Opisthorchis viverrini,species of trematode
Glider,moving pattern of five live cells in Conway's Game of Life
Emergency evacuation,urgent movement of people away from the threat or actual occurrence of a hazard
Site index,The field of study related to Site index.
KISS (TNC),terminal node controller communications protocol
Dense-rock equivalent,volcanologic calculation
Lentigo maligna,"cellular subtype of malignant melanoma, a pigmented lesion composed of melanocytes occurring on sun-exposed skin, usually the face and neck"
Flow assurance,The field of study related to Flow assurance.
Dried fruit,fruit from which the majority of the original water content has been removed
Transcendental equation,equation containing a transcendental function of the variable(s) being solved for
Heliostat,"device that includes a mirror, which turns so as to keep reflecting sunlight toward a predetermined target"
Pelvic exenteration,removal of all organs and adjacent structures of the pelvis
Special functions,functions which have established names and notations due to their importance in mathematics
Exclusive economic zone,UN maritime boundary
Seral community,intermediate stage found in ecological succession
Preference test,The field of study related to Preference test.
Fractal antenna,"an antenna that uses a fractal, self-similar design to maximize the length, or increase the perimeter, of material that can receive or transmit electromagnetic radiation within a given total surface area or volume"
Iconic memory,visual sensory memory
Canto,division of a long poem
Spinon,The field of study related to Spinon.
Piaget's theory of cognitive development,comprehensive system of ideas about learning in acquisition of human intelligence
Heating degree day,The field of study related to Heating degree day.
Psychomotor vigilance task,The field of study related to Psychomotor vigilance task.
Mathematics Subject Classification,alphanumerical classification scheme used by many mathematics journals
Spallation Neutron Source,accelerator-based neutron source in Oak Ridge
Localized molecular orbitals,The field of study related to Localized molecular orbitals.
Ladle,vessel used to transport and pour out molten metals
Boolean algebra,branch of algebra abstracting logical operations
Polychoric correlation,The field of study related to Polychoric correlation.
Creed,statement of the shared beliefs of a religious community in a structured form by topics summarizing doctrinal principles
Distributed element model,model of electrical circuits that represents attributes as distributed continuously rather than in discrete components
Optical computing,computer that uses photons or light particles
Business risks,possibility of a commercial business making inadequate profits (or even losses) due to uncertainties
Optical modulation amplitude,The field of study related to Optical modulation amplitude.
F-test,"statistical hypothesis test, mostly using multiple restrictions"
Pseudoautosomal region,region of sexual chromosomes exhibiting an autosomal inheritance pattern
Mullerian Ducts,paired ducts in the embryo in the primitive urogenital structures
Pressure solution,Rock deformation mechanism involving minerals dissolution under mechanical stress
Compact city,concept in urban planning and urban design
Integrated farming,The field of study related to Integrated farming.
